,ID,Text,Sub-task A,Sub-task B
74,C10.52,"Arundhati Roy has biggest bowls ,,,,,,,",CAG,NGEN
75,C59.2019,Love from bd💖💖🇧🇩,NAG,NGEN
76,C33.514,hlooo,NAG,NGEN
77,C32.136.2,@Babu Lal good morning ji,NAG,NGEN
78,C4.1066,"Please do a fan meetup! We want to meet you in person. There are many
community centres in and near Saket that you can book for same.",NAG,NGEN
79,C7.1762,awesome movie..,NAG,NGEN
80,C4.2169,"how can u talk for so much time and u looking just at the camera.. which means
it's like talking to yourself..",NAG,NGEN
81,C63.63,good,NAG,NGEN
82,C43.12,"Finally, i can legally call indians gay",NAG,GEN
83,C58.420,Really,NAG,NGEN
84,C7.501,Totally agree👍,NAG,NGEN
85,C10.1402,"As per Arundhati she should give her name as Kung Fu Kutiya and she should
keep practicing balancing tooth brushes on her nipples (god of small things),
that is all she is worth for. They (Roy, Kavita Krishnan, Shehla Rashid)
should rent apartments in Hira Mandi).",NAG,GEN
86,C4.1842,Ayushmann khurana nawazuddin siddique rajkumar Rao are really good actors,NAG,NGEN
87,C45.789.3,8617618488,NAG,NGEN
88,C32.49,"Ya gay person never like girls....but they won't going into violence against
girls...ur approach is entirely wrong man😒😒😒👎👎👎",NAG,NGEN
89,C7.1645,No means no... Awesome sarcasm...,NAG,NGEN
90,C7.2578.3,"తమ్ముడు వైపర్ ఏంది నీ బాధ... 🤔  
గమున్నుండవాయ్...  
రిప్లై ఇవ్వలేదని ఓ కామెంట్స్ పెట్టుకుంటూపోతున్నారు  
Shahid he is good actor & better then khan's So we are all just encourage  
  
Don't negative be positive  
Prabhas & shahid one of the greatest friends So I'm just supporting  
  
I'm member of prabhas fans association  
  
Eagerly waiting For shad's oF saaho  
  
Just waiting all",NAG,NGEN
91,C4.1784,I think you are one of the most honest youtubers on the platform. Respect! 🙏,NAG,NGEN
92,C4.73,All hutiyas one side and swetabh one side.,CAG,NGEN
93,C4.1571,amezing brother🤘,NAG,NGEN
94,C10.498,"Give the fake name and fake details and you will end up being unable to vote,
nor open bank account nor apply for any social benefits...",NAG,NGEN
95,C45.635.4,কামরুন নাহার right,NAG,NGEN
96,C59.1034,"to moto chele a rakom ma der chere dei tar pare ninda kare
i heat you .",OAG,NGEN
97,C33.143,Nice msg in end. Awesome video 👍👍👍👍👌👌💗💗,NAG,NGEN
98,C33.388,"Yes I saw in reality how protective lesbian girl is when it comes to her
girlfriend..... Salute to that girls...lgbt rocks",NAG,NGEN
99,C33.348,Good.. :),NAG,NGEN
100,C4.1159,"Iam a medical student and we give atleast 6-7 hrs for subjects . There is
nothing like personal life in medical field. For the sake of patients you have
to sacrifice your personal life.",NAG,NGEN
101,C10.186,She is a drug adict n dinner girl of billionaire,NAG,NGEN
102,C10.241,"these mental congress paid leftist so call intellectuals thinking Hindustan is
a jock.. these group will be behind bar or will be eliminated before
2023...just wait...this govt will not spare",NAG,NGEN
103,C4.339,Kabir singh 2019 most overrated movie🤮🤮,NAG,NGEN
104,C4.719,Hit like if you love ayushmann khurana,NAG,NGEN
105,C45.513.1,@Sayan Bose Thanks.. Respect.,NAG,NGEN
106,C4.1754.1,"Have u watched 3idiots, OMG, queen, Parmanu, Bajrangi Bhaijaan, Sultan,
Dangal, Padman etc?????? Better try to watch these good movies and remove ur
negativity about bollywood.",NAG,NGEN
107,C59.1638,Right 👌 bro,NAG,NGEN
108,C7.2138,Best and well studied review bro...👍,NAG,NGEN
109,C7.711,Totally agree......bro..Specially for Army and for country security...,NAG,NGEN
110,C63.174.1,"Al9


,Alicia",NAG,NGEN
111,C7.1824,Who is watching this after india beat afganistan in world cup 2019.,NAG,NGEN
112,C44.106,"Extremely sad, very very tragic.",NAG,NGEN
113,C68.812,I hat ranu Mondal,OAG,NGEN
114,C7.105,Sucharita tyagi is awesome,NAG,NGEN
115,C4.838,Sucharita tyagi is chutiya critic.,OAG,NGEN
116,C7.1110,"At [14:27](https://www.youtube.com/watch?v=J2J5ssSP5yQ&t=14m27s) ...this is
What i said to my Father after 12th 😂😂😂😂😂😂😂",NAG,NGEN
117,C38.35,Homosexuality is ban,NAG,GEN
118,C7.287,Pseudo liberals are themselves too much intolerant,NAG,NGEN
119,C26.200,good job done by this man,NAG,NGEN
120,C59.968,Your voice is very sweet,NAG,NGEN
121,C4.1684.1,Ya he is the only who talks sense on you tube,NAG,NGEN
122,C33.768.1,+Naughty World hiii,NAG,NGEN
123,C32.105,It's good video but not good to murder of female,NAG,NGEN
124,C7.129,<https://www.bbc.com/marathi/india-49022841>,NAG,NGEN
125,C7.2495,This movie is really great,NAG,NGEN
126,C7.1581,"I saw arjun reddy.... i am not a liberal or a feminist but it is my opinion I
saw arjun reddy yesterday on amazon and for one i had to pause whenever
character speak bcoz d subtitles were too fast i didnt have time to read the
whole thing.  
Secondly i didnt like arjun ka character- womZaniser, drug addict,
alcoholic.and very abusive.  
Thirdly, by saying i like thia girl in particular clothing and then going from
class to class plus the girl's hostel and giving it the name of love isn't
love at all and it's CREEPY like srk chasing after kajol in DDLJ.  
Fourth point, after repeated pleas by his parents, he still drinks and smokes.  
He was shown in a negative light....but atleast there was a courtroom scene.  
And he is proud to say that while he was high none of his patients died?
Seriously?  
He slapped a girl when it wasnt expected at all. He was very regressive. Not
only regressive but spoilt, unapoligetoc and obnoxious.  
One time watch but yet inspite all this i could see the effort made by the
makers.  
GOOD EFFORT... I DIDNT SAY GREAT FILM. THERE WASNT ANYTHING GREAT ABOUT THE
FILM. ARJUN REDDY WAS as my teacher would say A SPINELESS JELLYFISH.",OAG,NGEN
127,C59.1681,"Bro, Nice video",NAG,NGEN
128,C68.721,You are alright,NAG,NGEN
129,C10.197,"This lady from BJP is crazy this is how u react man such a foolish and
ignorant lady",NAG,NGEN
130,C10.362,I just love how two women shout over each other about another women.,NAG,NGEN
131,C7.2572.3,Feminists​ & Liberals are curse to humanity,OAG,NGEN
132,C7.1135,"I hate these faminisim.....they don't know even the meaning of it ....and
called themselves feminist....real woman don't care of them...",OAG,NGEN
133,C7.2407,"All the libtard reviews are like...  
  
""No woman should watch the movie""  
""No one should like the movie""  
""If anyone likes the movie they are a terrible person"" 🤦  
  
Even if they are not outrightly saying those statements that is exactly what
they are implying...  
  
They don't care about the 10s of thousands of women who come out of the
theaters saying they loved the movie...🤷 Because they are wrong and only the
liberal feminist point of view is the absolute truth...🤮",CAG,NGEN
134,C7.2534,Toy Story 4 review sir please,NAG,NGEN
135,C33.244,Super 🤠🤠🤠,NAG,NGEN
136,C36.986.4,"@jacky ju IF YOU WILL TAKE 5 ML TESTOSTERONE HORMONE INJECTION AND NOT FIND A
FEMALE YOU CAN EVEN FUCK A DOG",NAG,GEN
137,C4.1909,GaNgss Of wassepur Fanss Hit A like....😂😂😂,NAG,NGEN
138,C4.1787,I totally agree with you sir 💯,NAG,NGEN
139,C26.24,Salute,NAG,NGEN
140,C7.95,"bro bro....😂😂😂just try and replace the girl with ur sister or anyone close to
ya..",CAG,GEN
141,C7.1188,You got a subscriber 👍,NAG,NGEN
142,C4.973,"Sir I Have Sent A Personal Message To You on Instagram .... Please Make a
Video on it",NAG,NGEN
143,C10.770,"Arundati has to go to Bangladesh..... And we have to change her name to
kutta.... 💐💐💐💐",OAG,NGEN
144,C32.12,"Gay are not criminals, its a sexual identity, please stop sending wrong
messages",NAG,NGEN
145,C33.645.1,"Wow that's cool bcz i love all lesbians & gays. They are more spacial than uh
in my opinion. So i support them cz i respect them ❤❤. Bt i m nt a lesbian",NAG,NGEN
146,C26.283,"This is the failure of the Judicial system, they should make laws to punish
women who misuse this law.",CAG,NGEN
147,C7.2222.1,"@Be Positive What is your opinion about Muslims not allowing women to enter
Masjids ? Why are there no feminists protesting for that ?",NAG,NGEN
148,C7.796,Superb nice movie,NAG,NGEN
149,C4.2219,"I died at Shahid Khan , Kabir Khan 😂😂😂",NAG,NGEN
150,C7.697,"I guess it's the first film where every reviewer on youtube had a different
opinions and views .. woh!  
but I just loved the film!!",NAG,NGEN
151,C9.186,Now arundhati roy destroyed herself,CAG,NGEN
152,C26.290,"There is no action taken against woman, who file false 498a cases, so crime is
the only option left for a sensible Men like him, who was looking for
justice...",NAG,NGEN
153,C4.1976,"Bad boy character is more preferable then good character in girls eye...that's
why destructive films popular...",NAG,GEN
154,C7.55,"Well I do agree with most of the points you said..but I just feel that the
initial things done by Kabir in order to approach Priti were kind of scary.
Normally any girl would get scared. Priti's reaction to all of that was kind
of weird to me.",NAG,NGEN
155,C4.1778.1,Watch Section 375. It's a masterpiece exposing feminism.,NAG,NGEN
156,C4.2148,Bhai types of girls series continue Karo...,NAG,NGEN
157,C68.1103,Very good video,NAG,NGEN
158,C68.551,Yes bro you ar right,NAG,NGEN
159,C4.1540.2,@Franklin Bro. I agree 💯% with u...,NAG,NGEN
160,C4.2250,"Shwetabh pin my comment.
You are too good man.",NAG,NGEN
161,C44.93,se se se it's hearing looking feeling veery bed...,NAG,NGEN
162,C4.901,"If films influence societies then Kabir Singh marks the beginning of a dark
society",CAG,NGEN
163,C4.115,"Gazabb review .... I thought you would praise this film... Thank God you
bashed it.... Love your review",NAG,NGEN
164,C4.2177,"Finally, most anticipated video of Shwetabh sir!",NAG,NGEN
165,C45.391,Sonagachi hit like❤,NAG,NGEN
166,C46.30,Encounter................Encounter................Encounter..............,OAG,NGEN
167,C7.1061.1,If you have guts then speak against child rapist prophet mohammed,OAG,NGEN
168,C7.1102,"I have not seen kabir singh yet bt have seen Arjun Reddy. Grt movie. U r very
much right to point out the hypocrisy of the liberals and so called
feminists.Actually they themselves r confused of what they want in life and as
a result of this they live a lonely life at the end of the day. They don't
want to understand relationship. Their feminism starts with the f... word and
ends in the f...... word.",OAG,NGEN
169,C33.449,nice bhai,NAG,NGEN
170,C7.970,"Expected some what like the level of Wassepur.. Disappointed.. And yeah
don't... Bring in the anti feminist or cult kinda thing.. Just put your
view... Self destruction is a good thing.....be it substance abuse.. A
""thing"".. Or a lifeless soul.. Shut your mouth and start respecting your
mother.. In fact u need your parents help",OAG,NGEN
171,C4.886,200 crores club movie hai ye 😂,NAG,NGEN
172,C7.1646,One word for all haters go die somewhere else..,OAG,NGEN
173,C33.161,Oooo super,NAG,NGEN
174,C9.98,Hate this,CAG,NGEN
175,C4.1957.1,"Savdhaan India, Kabir Singh fights back.😁😁",NAG,NGEN
176,C4.792.5,@Pawan Kakade Dude joker sucked. Watch my review and open your damn eyes!!,CAG,NGEN
177,C4.1204,😂😂amazing practical person,NAG,NGEN
178,C7.321,Hypocrisy... is a disease,NAG,NGEN
179,C7.2005,true,NAG,NGEN
180,C4.389,"Even I watched the movie and I had similar thoughts, but the only appreciable
part was Shahid's acting.",NAG,NGEN
181,C45.5,Nicevedio,NAG,NGEN
182,C58.285,Hi8,NAG,NGEN
183,C7.853,"I am a big fan, Pratik Bhai love from the USA 🇺🇸😍",NAG,NGEN
184,C10.568.1,They will know in 2024 Elections when we vote for Modi Government in Majority.,NAG,NGEN
185,C4.442,Nawazuddin a toxic character babat realistic presentation,NAG,NGEN
186,C25.509.1,Right sir ...,NAG,NGEN
187,C4.2001,If anurag kasyab directed this film then it will be like crime petrol show.. 😂,NAG,NGEN
188,C4.2254,Once again you nailed it!!. Keep going brother.,NAG,NGEN
189,C9.58,"This whore is a member of psuedo intellectual secular gang.She made a villa in
naive ST's land.",OAG,GEN
190,C7.1613,"Frankly I liked only Shahid and his friends acting and their relationship than
actual love story.",NAG,NGEN
191,C4.328,From thumbnail I thought it is carryminati,NAG,NGEN
192,C4.667,"Someone told me ki if you're trying to find out logics you must find it in
life not in films. So watch a movie with just nothing",NAG,NGEN
193,C4.888,"10000% true 👍👍👍
Kabir singh is a big chutiya movie",OAG,NGEN
194,C4.1018,Pls review joker......,NAG,NGEN
195,C68.358,Ok thanks for your,NAG,NGEN
196,C7.1.1,1000th like👍,NAG,NGEN
197,C7.1558,"Fuckboy isn't good , but a bully isn't either. Skewed feminism is dangerous
and so is toxic masculinity. I totally understand that you have a lot of
hatred for liberals n feminists which is justified coz of what a lot of them
have been propogating but not every idea of feminism is wrong pratik.
Bollywood has a history of showing these things ""cool"", that is my only
problem with these characters. I am all game for negative characters but I
don't like them being glorified, making them look cool. I won't even start
with 4 shots, I didn't even like alia's aggresion in gully boy so it's not one
sided. As much as I enjoy your views on nationalism, our history , I didn't
feel comfortable watching this. 🙏",CAG,GEN
198,C4.1913,"Yes, u r right man",NAG,NGEN
199,C7.826,Kabir Singh best love story ever 😘😘,NAG,NGEN
200,C33.659.1,"As a lesbian, I wouldn't say it'll ""completely"" contribute to reduction in
population. They need to legalize 2 children policy like China did. Also, all
couples should adopt at least 1 orphan instead of trying to reproduce. Only
25% of orphans are being adopted and others will be 18 then kicked out.
They'll become homeless. Rural areas should stop reproducing lots of children.",CAG,NGEN
201,C4.1814.1,"If u need a realistic and grounded love story, watch '96\. Vijay setupathy and
trisha. It is a tamil movie. watch it with subs.",NAG,NGEN
202,C4.2223,"Hit like for shwetabh gangwar.
👇👇",NAG,NGEN
203,C10.192,Waste a bullet on Arundathi Roy...she is a traitor,NAG,NGEN
204,C68.1308.3,Ranu is a bad girl👍👍😸😆😂🤣,NAG,NGEN
205,C45.202.2,"Phone sex iam from Odisha state bhubaneswar iam just 24yr old hot and sexy boy
09777070288",NAG,NGEN
206,C4.35,Who the fuck disliked the video?,OAG,NGEN
207,C63.103,<https://youtu.be/Jtf5L1h-q9I>,NAG,NGEN
208,C32.107.4,My.darling,NAG,NGEN
209,C4.1106,I think chhichore is more realistic.,NAG,NGEN
210,C4.1886,Isiliye to real life ko movie se compare nahi kr skte.....,NAG,NGEN
211,C7.593,"Tue film is amazing...sm. ppl in dis country have problem wid
everything...intrstngly these ppl dn hv any problem wid d things that r
actually wrong...",CAG,NGEN
212,C10.393,Arundhati roy is a gr8 writer arnab pl dnt mislead the public,NAG,NGEN
213,C10.289,"Why give importance to her nonsensical utterances? No talks, only arrest her.",NAG,NGEN
214,C58.496,Love you didi 😁,NAG,NGEN
215,C10.450,"Immediate arrest her.  
who gave her prize?  
redicuous .....",OAG,NGEN
216,C4.1642,"Kabir Singh is dubbing of Arjun Reddy Tollywood industry film directed by the
same guy Sandeep Reddy Vanga and what's so surprising is this movie is biggest
blockbuster of Tollywood industry in the respective year. Need more men like
you to get youth's mind into correct direction. Respect for your work man.",NAG,NGEN
217,C59.1164,Tike asa..bro..i like you...,NAG,NGEN
218,C7.2010,"I also watch thousands of worldwide movies Korean,Japanese,Hollywood,Taiwan
seriously after a decade I will tell you that kabir singh/Arjun reddy is a
cult classic movie in india it’s not a simple love story.bro you are awesome
you are telling the real truth.❤️",NAG,NGEN
219,C4.1239,That's the truth,NAG,NGEN
220,C4.404,Coming to Delhi to watch your videos bcox net is off in Kashmir,NAG,NGEN
221,C4.612,You're a true genius!😎😎😎😎😎😎,NAG,NGEN
222,C4.1168,"Harr Londa samajhta hai main Kabir Singh hu, EX: main chain smoker hu like
him, main abusive hu like him, alcoholic hu as usual like him but when it
comes to education, wisdam, carrier non of these even exist for em.",NAG,NGEN
223,C26.299.1,Right...,NAG,NGEN
224,C10.409,"NPR will help reaching govt schemes effectively n proprly to minor
communities.",NAG,NGEN
225,C59.61,Beautiful,NAG,NGEN
226,C7.11.2,"@usher luck Fair enough then ... The director's approach isn't very clear to
me however , may be it's misinterpreted , may be not . And can't comment on
the movie scenes . Started my comment stating that didn't watch it.",NAG,NGEN
227,C7.24,Nice review brother love you,NAG,NGEN
228,C4.500,Make video about Indian series streaming on Netflix and Amazon prime,NAG,NGEN
229,C10.539.1,"@NIRMALYA SASMAL just tell me one thing have u watched the whole speach it's
just 4-5 min u should watch it.",NAG,NGEN
230,C4.417,"I agree with you but I have a point too. Before elaborating my point, I want
to let you know that I'm here after seeing the ""Joker Movie analysis"". I
firmly believe the male character in Kabir Singh was irresponsible and doesn't
have any reflection with real life or practicality. As you said in the later
part of this video, ""if you're in relationship and your partner is self
derogating then run as fast as possible."" Don't you think this line defy your
Joker analysis, where you appraised/empathize Joker's mental state and called
the movie INCREDIBLE. But in this part you said to run ftom such type of
person, if we all keep running from person who're mentally ill then were would
our generation will end up. I'm not saying this all because I like Kabir
Singh, I'm saying this because I have depression, anxiety and personality
disorder. In the movie ""principal"" told the class about his Anger management
issue.
Kabir also has emotional/mental issues but I guess you didn't observed him
precisely as much as you observed Joker. As per WHO, one in every 20 Indian
suffer from depression; 5 out of 100.
Hope you understand what I'm trying to say. Peace ☮️",CAG,NGEN
231,C10.775.1,"@mala sahu India is a failed state and so do NSA , you cant scare us with your
""Nazi Gestapo"" crap",NAG,NGEN
232,C45.1.3,@sonali roy r8,NAG,NGEN
233,C7.2154,**shahid fans hit like 😍😍**,NAG,NGEN
234,C26.286,Great Job !,NAG,NGEN
235,C26.300.4,"Hitesh Kumar see here in youtube some misandrists are commenting using fake
I'd.Some female misandrists are a snake of two face that means they says that
498 must be banned but they work for developing laws against men.This type of
misandrists are just a spy of radical misandrists.They are doing drama of
gender equality at daylight but at a secure time they change their form.Those
are the misandrists in the coat of gender [equality.Be](http://equality.be/)
careful from them and try to identify them.They just watching us to provide
the informations to the local misandrists in the form of gender
[equality.Like](http://equality.like/) a spy uses beard so that he cannot be
identified.Sometimes those misandrists make id using photo and name of the
boys",CAG,NGEN
236,C10.883,"Let AR use her name as range & billa and fill the same name when applying for
her Visa to any overseas countries  
Why our govt is napunsak and not revoke her passport/visa or even arrest her",CAG,GEN
237,C7.1224,Bhai good analysis,NAG,NGEN
238,C59.258,Super boss,NAG,NGEN
239,C10.271,arnab you must retire now. you are done.,NAG,NGEN
240,C7.1906,"Best review. Khup negatives reviews milale Kabir singh la.. Filmi corporation
chya Suchitra tyagi tar Vish okalay tichya review madhe.. Go to masses man..
Movie is getting excellent response from people.. This type of love story is
encouraging in today's world where one night stand and extra martial affair is
comon",NAG,NGEN
241,C7.2559.2,@Naveen Shekhar I know that's exactly what I said .,NAG,NGEN
242,C45.276.3,"Hi iam from Odisha state bhubaneswar 09777070288 I want make friendship with
you and meet with you if you are interested msg me on whatsapp and call me let
see 7 mine",NAG,NGEN
243,C4.1970,Seriously so sad to say but ... Tatti movie,NAG,NGEN
244,C7.2362.1,@aam admi ok,NAG,NGEN
245,C4.1155.1,"Exactly these assholic memers posted piles of shit memes on social media about
this absolutely rubbish and nonsensical film , I can't even call it a film
such directors should stop making movies asap otherwise already shitty
bollywood is going to become even more shittier",OAG,NGEN
